#As_1e9    ns    H0    omegab    omegam    omegach2    w0pwa   w    xi+    xi+_msk    xi-    xi-_msk    gammat    gammat_msk    wtheta    wtheta_msk    msk
1.9918464 0.94630034 74.18958 0.05026511 0.34413275 0.16110237 -1.0 -1.1352495 1.3850163164566738 0.19395061369872768 1.9655594500780247 0.07673339204211954 0.13867751010932172 0.014127072558088502 0.03363727528493979 0.0014948472633021428 1.8256420160841675
1.7324182 0.99455553 75.968891 0.052228015 0.27321499 0.12689246 -1.0 -1.0527827 0.3440625465087713 0.05554422621332508 0.4755483118404016 0.02180549755332487 0.03163253086727092 0.00433692035319569 0.00850898693167658 0.0010283514805073904 0.5684546781770424
1.811261 0.99464889 65.028185 0.0490603 0.31921564 0.1135945 -1.0 -0.94942244 0.3997713040993425 0.0625398314422285 0.5562460922148906 0.025171274581959186 0.032618046448316604 0.00441092608772005 0.009324078496173836 0.0007624025647898071 0.6185032229367099
2.3277338 0.9608471 63.313326 0.050087954 0.3490509 0.11919647 -1.0 -1.0878076 0.8995784237735376 0.1403106582817549 1.227379841588383 0.0630300031618944 0.08385279924670333 0.010057884594812452 0.03357666310856125 0.0014791790532485583 1.37991718077292
1.9219321 0.98689407 66.689475 0.044367296 0.27570534 0.10224213 -1.0 -0.94004666 0.24567121745872422 0.04274550573352262 0.33721407468841746 0.019057269963939947 0.021291079626546097 0.0033952086802931203 0.01166994221408262 0.000746405628011374 0.4378193354996397
2.208758 0.93670116 74.031862 0.0493172 0.28194023 0.12684895 -1.0 -1.0865633 0.5121089756671666 0.09349470552570309 0.6917700319169401 0.04253060666040982 0.05927996027349718 0.007986736367755506 0.020382212624760036 0.001482678401496948 0.9723823021311709
1.6569192 0.97439436 74.5905 0.045887683 0.33430559 0.15982316 -1.0 -0.98261557 0.9591065992163503 0.12850294858709102 1.3457970165217845 0.04349652286808856 0.09357893895660513 0.009668046357724683 0.018554385172546834 0.0008776761300860719 1.1983640769426007
2.183055 0.96184445 74.397273 0.05199716 0.28355099 0.12751884 -1.0 -0.85918055 0.4399960681072584 0.073640500940562 0.5977796180831315 0.030826494064692497 0.05116154382123551 0.006578585462040435 0.017459053842904977 0.0014081609534406713 0.7524426787315573
2.1234242 0.95448836 64.716302 0.043921742 0.30986053 0.11073534 -1.0 -1.0667351 0.47619558181231014 0.08574033554445765 0.657733770113357 0.039158899760429994 0.04837087232816968 0.006363785070536151 0.02116560149258728 0.000852058670802408 0.8527450259245558
2.2567891 0.99528439 68.860554 0.04124067 0.27975797 0.11245442 -1.0 -1.0470759 0.5615372766383262 0.08808200663239714 0.7761650726505441 0.03492640820775129 0.06131391798580953 0.0070916250902277374 0.021756554311798647 0.0010154662584651482 0.8866369805450905
1.5736728 0.9856167 65.050558 0.048172484 0.35658411 0.12986156 -1.0 -1.1298369 0.6212503221500636 0.09048700362118611 0.8770260345410172 0.034987587759315625 0.046141862500791817 0.005534347949122339 0.010403973751579088 0.0007642041299127477 0.8658857098611837
2.1291501 0.98769596 73.8232 0.047962761 0.31208551 0.14329819 -1.0 -0.94892638 1.0033040099342216 0.13872429116678547 1.4248200452735063 0.04917910985213885 0.11053349523200387 0.010882152842557356 0.02492640296792981 0.0012702740658404592 1.315530601465781
2.0146143 0.98336279 70.774786 0.041031323 0.31840247 0.13829202 -1.0 -1.1129091 1.0145913029249594 0.1493246866343807 1.4302132310452653 0.05502351163874459 0.1096874660107041 0.010832465304373592 0.022017736687513927 0.0009374018518375684 1.4397774485324286
2.1058866 0.96357057 72.060932 0.045817217 0.32680649 0.14526635 -1.0 -1.0063653 1.1336097962676444 0.15927597302201577 1.5725340618289845 0.06010538397794059 0.12019708761704201 0.012246810816115273 0.038376906817796194 0.0012826542651786228 1.4954285385008113
2.3039238 0.98452531 67.727093 0.050276474 0.34452915 0.13432736 -1.0 -1.0494617 1.238563329431546 0.18043950481854926 1.8034395049107474 0.07000041078736861 0.12964058404161566 0.013017854470684188 0.026528987843372282 0.001593132467925125 1.7078755745572887
